time_o,action_o,price_o,time_c,action_c,price_c,sign,pnl,fee,net_pnl,return,cum_return
2024-11-25 10:34:31,BTO,5983.0,2024-11-25 13:52:11.000,BTC,5895.0,1,-88.0,0.27319400000000005,-88.273194,-0.014754002005682769,-0.014754002005682769
2024-11-25 13:52:12,STO,5894.4,2024-11-25 14:57:12.500,STC,5987.0,-1,-92.60000000000036,0.27327219999999997,-92.87327220000036,-0.015756187601791594,-0.030510189607474363
2024-11-25 14:57:17,BTO,5987.8,2024-11-25 15:00:00.500,BTC,5992.8,1,5.0,0.27555379999999996,4.7244462,0.0007890120244497143,-0.029721177583024647
